"Nombre","Lineas","SuperAgent","Execute","ExecuteOperative","DecisionLayer","TenantContext","RealAPI","NeedsOperative","Priority"
"abtestingia","263","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"abtestingimpactia","127","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"attributionmodelia","117","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"audiencesegmenteria","246","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"budgetforecastia","117","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"campaignoptimizeria","227","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"campaignstrategyorchestratoria","1763","✅","✅","❌","❌","✅","❌","SÍ","ALTA"
"cashofferfilteria","117","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"channelattributia","244","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"competitoranalyzeria","200","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"competitorintelligenceia","205","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"contactqualityia","220","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"contentgeneratoria","233","✅","✅","❌","✅","✅","❌","SÍ","ALTA"
"contentperformanceia","117","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"conversioncohortia","219","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"creativeanalyzeria","215","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"customersegmentatonia","196","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"emailautomationia","231","✅","✅","❌","✅","✅","❌","SÍ","ALTA"
"geosegmentationia","184","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"influencermatcheria","209","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"influencermatchingia","198","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"journeyoptimizeria","208","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"leadscoria","248","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"leadscoringia","117","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"marketingmixmodelia","117","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"marketingorchestratorea","117","✅","✅","❌","✅","✅","❌","SÍ","ALTA"
"minimalformia","191","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"multi_industry_config","967","❌","❌","❌","❌","✅","❌","SÍ","ALTA"
"personalizationengineia","211","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"predictiveleadia","230","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"pricingoptimizeria","254","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"productaffinityia","203","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"retentionpredictorea","117","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"retentionpredictoria","241","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"sentimentanalyzeria","236","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"sociallisteningia","220","✅","✅","❌","✅","✅","❌","SÍ","MEDIA"
"socialpostgeneratoria","117","✅","✅","❌","✅","✅","❌","SÍ","ALTA"
