"Agente","Lineas","Autonomia","Generacion_IA","Aprendizaje","Memoria","Planificacion","Decisiones","Orquestacion","Resiliencia","Seguridad","Metricas","Total","Porcentaje","Nivel","Tiene_API_Real","Tiene_OpenAI","Tiene_Anthropic","Tiene_Database","Tiene_Scheduler","Tiene_Orchestration"
"abtestingia","262","0/3","0/4","0/3","1/4","2/3","4/4","0/3","3/3","2/3","1/2","13/32","40.6%","System.Object[]","False","False","False","False","False","False"
"abtestingimpactia","126","0/3","0/4","0/3","1/4","1/3","3/4","0/3","2/3","2/3","1/2","10/32","31.2%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"attributionmodelia","116","0/3","0/4","0/3","1/4","1/3","3/4","0/3","2/3","2/3","1/2","10/32","31.2%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"audiencesegmenteria","245","0/3","0/4","0/3","1/4","2/3","3/4","1/3","2/3","2/3","2/2","13/32","40.6%","System.Object[]","False","False","False","False","False","False"
"budgetforecastia","116","0/3","0/4","0/3","1/4","1/3","3/4","0/3","2/3","2/3","1/2","10/32","31.2%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"campaignoptimizeria","226","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"campaignstrategyorchestratoria","1762","0/3","0/4","2/3","3/4","2/3","4/4","3/3","3/3","2/3","2/2","21/32","65.6%","System.Object[]","False","False","False","False","False","True"
"cashofferfilteria","116","0/3","0/4","0/3","1/4","1/3","3/4","0/3","2/3","2/3","1/2","10/32","31.2%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"channelattributia","243","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","2/2","12/32","37.5%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"competitoranalyzeria","199","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"competitorintelligenceia","204","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"contactqualityia","219","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"contentgeneratoria","232","0/3","1/4","0/3","1/4","3/3","3/4","0/3","2/3","2/3","1/2","13/32","40.6%","System.Object[]","False","False","False","False","True","False"
"contentperformanceia","116","0/3","0/4","0/3","1/4","1/3","3/4","0/3","2/3","2/3","1/2","10/32","31.2%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"conversioncohortia","218","0/3","0/4","0/3","1/4","2/3","4/4","0/3","2/3","2/3","1/2","12/32","37.5%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"creativeanalyzeria","214","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"customersegmentatonia","195","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
