"Name","TotalScore","Grade","MaturityLevel","Category","IsOperative","NeedsConversion"
"abtestingia","607","C+","INTERMEDIATE","Other","False","False"
"abtestingimpactia","597","C","BASIC","Other","False","False"
"attributionmodelia","597","C","BASIC","Attribution","False","False"
"audiencesegmenteria","597","C","BASIC","Segmentation","False","False"
"budgetforecastia","597","C","BASIC","Forecasting","False","False"
"campaignoptimizeria","602","C+","INTERMEDIATE","Campaign","False","True"
"campaignstrategyorchestratoria","467","D","BASIC","Campaign","False","True"
"cashofferfilteria","597","C","BASIC","Other","False","False"
"channelattributia","602","C+","INTERMEDIATE","Attribution","False","False"
"competitoranalyzeria","597","C","BASIC","Intelligence","False","False"
"competitorintelligenceia","597","C","BASIC","Intelligence","False","False"
"contactqualityia","597","C","BASIC","Other","False","False"
"contentgeneratoria","602","C+","INTERMEDIATE","Content/Social","False","True"
"contentperformanceia","597","C","BASIC","Analytics","False","False"
"conversioncohortia","607","C+","INTERMEDIATE","Other","False","False"
"creativeanalyzeria","602","C+","INTERMEDIATE","Analytics","False","False"
"customersegmentatonia","602","C+","INTERMEDIATE","Segmentation","False","False"
"emailautomationia","607","C+","INTERMEDIATE","Email","False","True"
"geosegmentationia","602","C+","INTERMEDIATE","Segmentation","False","False"
"influencermatcheria","597","C","BASIC","Influencer","False","False"
"influencermatchingia","597","C","BASIC","Influencer","False","False"
"journeyoptimizeria","597","C","BASIC","Customer Journey","False","False"
"leadscoria","602","C+","INTERMEDIATE","Lead Management","False","False"
"leadscoringia","597","C","BASIC","Lead Management","False","False"
"marketingmixmodelia","597","C","BASIC","Other","False","False"
"marketingorchestratorea","597","C","BASIC","Orchestration","False","True"
"minimalformia","602","C+","INTERMEDIATE","Other","False","False"
"personalizationengineia","602","C+","INTERMEDIATE","Personalization","False","True"
"predictiveleadia","602","C+","INTERMEDIATE","Lead Management","False","False"
"pricingoptimizeria","602","C+","INTERMEDIATE","Campaign","False","False"
"productaffinityia","602","C+","INTERMEDIATE","Other","False","False"
"retentionpredictorea","597","C","BASIC","Customer Journey","False","False"
"retentionpredictoria","602","C+","INTERMEDIATE","Customer Journey","False","False"
"sentimentanalyzeria","602","C+","INTERMEDIATE","Analytics","False","False"
"sociallisteningia","597","C","BASIC","Content/Social","False","True"
"socialpostgeneratoria","597","C","BASIC","Content/Social","False","True"
