"Carpeta","Archivo","TamañoKB","Ultima_Modificacion"
"agents","brandsentimentia.py","5.93","8/7/2025 9:29:04 AM"
"agents","contentviralityia.py","7","8/7/2025 9:29:04 AM"
"agents","fidelizedprofileia.py","7.05","8/7/2025 9:29:04 AM"
"agents","influencermatchia.py","5.92","8/7/2025 9:29:04 AM"
"agents","videoreelautogenia.py","7.02","8/7/2025 9:29:04 AM"
"agents","abtestingia.py","18.96","10/5/2025 1:12:03 PM"
"agents","abtestingimpactia.py","11.69","10/8/2025 12:49:22 PM"
"agents","attributionmodelia.py","28.36","10/12/2025 9:05:56 AM"
"agents","budgetforecastia.py","28.52","10/7/2025 12:14:54 PM"
"agents","campaignoptimizeria.py","5.11","10/12/2025 9:05:56 AM"
"agents","canonical.py","14.98","10/12/2025 9:13:37 AM"
"agents","canonical_backup_20251011_084547.py","12.08","10/10/2025 10:13:18 PM"
"agents","canonical_backup_20251012_091337.py","14.97","10/11/2025 8:45:47 AM"
"agents","cashofferfilteria.py","12.31","10/11/2025 8:24:33 AM"
"agents","competitoranalyzeria.py","24.94","10/7/2025 1:04:27 PM"
"agents","competitorintelligenceia.py","27.81","10/8/2025 12:49:22 PM"
"agents","contactqualityia.py","6.08","10/12/2025 9:05:56 AM"
"agents","contentperformanceia.py","46.5","10/31/2025 6:48:17 AM"
"agents","contentperformance_superagent_v5.py","43.54","10/31/2025 7:03:30 AM"
"agents","content_generator_v3.py","49.1","10/30/2025 11:20:55 PM"
"agents","conversioncohortia.py","4.47","10/3/2025 8:42:40 PM"
"agents","creativeanalyzeria.py","26.36","10/7/2025 12:19:29 PM"
"agents","customersegmentatonia.py","22.79","10/5/2025 1:13:29 PM"
"agents","emailautomationia.py","21.65","10/5/2025 1:07:32 PM"
"agents","geosegmentationia.py","11.32","10/11/2025 8:24:33 AM"
"agents","influencermatcheria.py","26.91","10/8/2025 1:09:59 PM"
"agents","influencermatchingia.py","19.77","10/7/2025 1:27:58 PM"
"agents","journeyoptimizeria.py","28.29","10/7/2025 12:10:54 PM"
"agents","leadscoringia.py","20.87","10/12/2025 8:46:03 PM"
"agents","leadscoringia_backup_20251012_120320.py","14.61","10/12/2025 11:55:20 AM"
"agents","marketingmixmodelia.py","28.43","10/7/2025 12:23:26 PM"
"agents","marketingorchestratorea.py","33.24","10/8/2025 1:09:59 PM"
"agents","marketing_coordinator.py","5.79","8/11/2025 5:34:34 PM"
"agents","minimalformia.py","25.06","10/11/2025 8:24:33 AM"
"agents","personalizationengineia.py","28.06","10/7/2025 12:06:33 PM"
"agents","productaffinityia.py","14.22","10/11/2025 8:24:33 AM"
"agents","retentionpredictorea.py","33.58","10/8/2025 1:09:59 PM"
"agents","schemas_from_sandbox.py","15.35","10/6/2025 7:39:12 AM"
"agents","socialpostgeneratoria.py","24.61","10/12/2025 9:05:56 AM"
"agents","validate_agents.py","1.58","10/11/2025 8:38:10 AM"
"agents","__init__.py","7.17","10/6/2025 10:33:49 PM"
"agents_backup","abtestingimpactia.py","5.92","8/7/2025 9:29:04 AM"
"agents_backup","adschanneloptimizeria.py","0","8/26/2025 9:15:44 AM"
"agents_backup","brandsentimentia.py","5.93","8/7/2025 9:29:04 AM"
"agents_backup","budgetallocatoria.py","0","8/26/2025 9:15:43 AM"
"agents_backup","campaignoptimizeria.py","4.17","8/5/2025 9:14:53 AM"
"agents_backup","cashofferfilteria.py","7.03","8/7/2025 9:29:04 AM"
"agents_backup","channelblendia.py","0","8/26/2025 9:15:47 AM"
"agents_backup","clientprofilingia.py","0","8/26/2025 9:15:41 AM"
"agents_backup","competitorintelligenceia.py","6.03","8/7/2025 9:29:04 AM"
"agents_backup","contactqualityia.py","7.01","8/7/2025 9:29:04 AM"
"agents_backup","contentengagementia.py","0","8/26/2025 9:15:45 AM"
"agents_backup","contentgeneratoria.py","0","8/26/2025 9:15:46 AM"
"agents_backup","contentviralityia.py","7","8/7/2025 9:29:04 AM"
"agents_backup","conversioncohortia.py","5.94","8/7/2025 9:29:04 AM"
"agents_backup","conversionpredictoria.py","0","8/26/2025 9:15:44 AM"
"agents_backup","emailautomationia.py","4.14","8/5/2025 9:14:53 AM"
"agents_backup","emotiontrackeria.py","0","8/26/2025 9:15:48 AM"
"agents_backup","fidelizedprofileia.py","7.05","8/7/2025 9:29:04 AM"
"agents_backup","funneloptimizeria.py","0","8/26/2025 9:15:46 AM"
"agents_backup","geosegmentationia.py","5.93","8/7/2025 9:29:04 AM"
"agents_backup","heatmapinsightia.py","0","8/26/2025 9:15:48 AM"
"agents_backup","influencermatcheria.py","4.13","8/5/2025 9:14:53 AM"
"agents_backup","influencermatchia.py","5.92","8/7/2025 9:29:04 AM"
"agents_backup","leadretentionia.py","0","8/26/2025 9:15:45 AM"
"agents_backup","leadscoringia.py","4.12","8/5/2025 9:14:53 AM"
"agents_backup","leadsOptimizerIA.py","0","8/26/2025 9:15:41 AM"
"agents_backup","marketing_coordinator.py","5.79","8/11/2025 5:34:34 PM"
"agents_backup","marketsegmentationia.py","0","8/26/2025 9:15:43 AM"
"agents_backup","messagepersonalizeria.py","0","8/26/2025 9:15:46 AM"
"agents_backup","minimalformia.py","5.89","8/7/2025 9:29:04 AM"
"agents_backup","multichannelattributionia.py","0","8/26/2025 9:15:42 AM"
"agents_backup","offersforecastia.py","0","8/26/2025 9:15:47 AM"
"agents_backup","offerspersonalizationia.py","0","8/26/2025 9:15:42 AM"
"agents_backup","productaffinityia.py","7.02","8/7/2025 9:29:04 AM"
"agents_backup","promotionsengineia.py","0","8/26/2025 9:15:41 AM"
"agents_backup","retargetingoptimizeria.py","0","8/26/2025 9:15:42 AM"
"agents_backup","roiattributionia.py","0","8/26/2025 9:15:43 AM"
"agents_backup","searchintenttrackeria.py","0","8/26/2025 9:15:44 AM"
"agents_backup","seasonalityanalyzeria.py","0","8/26/2025 9:15:45 AM"
"agents_backup","socialpostgeneratoria.py","7.08","8/7/2025 9:29:04 AM"
"agents_backup","touchpointanalyzeria.py","0","8/26/2025 9:15:48 AM"
"agents_backup","videoreelautogenia.py","7.02","8/7/2025 9:29:04 AM"
"agents_backup","viralpotentialia.py","0","8/26/2025 9:15:47 AM"
"agents_backup","__init__.py","2.52","8/7/2025 9:29:04 AM"
