"Agente","Estado","Score","Prioridad","Recomendacion","Ultima_Modificacion","Tamaño_KB"
"abtestingia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/5/2025 1:12:03 PM","18.96"
"abtestingimpactia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/8/2025 12:49:22 PM","11.69"
"attributionmodelia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/12/2025 9:05:56 AM","28.36"
"budgetforecastia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/7/2025 12:14:54 PM","28.52"
"campaignoptimizeria.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/12/2025 9:05:56 AM","5.11"
"canonical.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/12/2025 9:13:37 AM","14.98"
"canonical_backup_20251011_084547.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/10/2025 10:13:18 PM","12.08"
"canonical_backup_20251012_091337.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/11/2025 8:45:47 AM","14.97"
"cashofferfilteria.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/11/2025 8:24:33 AM","12.31"
"competitoranalyzeria.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/7/2025 1:04:27 PM","24.94"
"competitorintelligenceia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/8/2025 12:49:22 PM","27.81"
"contactqualityia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/12/2025 9:05:56 AM","6.08"
"contentperformanceia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/31/2025 6:48:17 AM","46.5"
"contentperformance_superagent_v5.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/31/2025 7:03:30 AM","43.54"
"content_generator_v3.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/30/2025 11:20:55 PM","49.1"
"conversioncohortia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/3/2025 8:42:40 PM","4.47"
"creativeanalyzeria.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/7/2025 12:19:29 PM","26.36"
"customersegmentatonia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/5/2025 1:13:29 PM","22.79"
"emailautomationia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/5/2025 1:07:32 PM","21.65"
"geosegmentationia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/11/2025 8:24:33 AM","11.32"
"influencermatcheria.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/8/2025 1:09:59 PM","26.91"
"influencermatchingia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/7/2025 1:27:58 PM","19.77"
"journeyoptimizeria.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/7/2025 12:10:54 PM","28.29"
"leadscoringia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/12/2025 8:46:03 PM","20.87"
"leadscoringia_backup_20251012_120320.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/12/2025 11:55:20 AM","14.61"
"marketingmixmodelia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/7/2025 12:23:26 PM","28.43"
"marketingorchestratorea.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/8/2025 1:09:59 PM","33.24"
"marketing_coordinator.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","8/11/2025 5:34:34 PM","5.79"
"minimalformia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/11/2025 8:24:33 AM","25.06"
"personalizationengineia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/7/2025 12:06:33 PM","28.06"
"productaffinityia.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/11/2025 8:24:33 AM","14.22"
"retentionpredictorea.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/8/2025 1:09:59 PM","33.58"
"schemas_from_sandbox.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/6/2025 7:39:12 AM","15.35"
"socialpostgeneratoria.py","No vinculado","90","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/12/2025 9:05:56 AM","24.61"
"validate_agents.py","No vinculado","85","🟢 OPTIMAL","⚠️ No detectado en AgentFactory","10/11/2025 8:38:10 AM","1.58"
