"Agent","Overall_Score","Benchmark","Relative_Score_Percent","Performance","Explicability","Audit_Trail","Decision_Quality","Data_Quality","Compliance","Error_Handling","Documentation","Scalability","Maintainability","Evaluation_Time_ms","Status"
"productaffinityia","59.0","Amazon Personalize","61.4","63.3","80","40","80","30","0","0","80","100","100","2082.39","SUCCESS"
"geosegmentationia","59.0","RFM + CLV Advanced","62.8","63.3","80","40","80","30","0","0","80","100","100","2113.53","SUCCESS"
"minimalformia","59.0","RFM + CLV Advanced","62.8","63.3","80","40","80","30","0","0","80","100","100","1873.61","SUCCESS"
"customersegmentatonia","59.0","RFM + CLV Advanced","62.8","63.3","80","40","80","30","0","0","80","100","100","2132.92","SUCCESS"
"abtestingia","59.0","Statsig / Optimizely","60.8","63.3","80","40","80","30","0","0","80","100","100","1929.8","SUCCESS"
"emailautomationia","59.0","Braze / Customer.io","62.1","63.3","80","40","80","30","0","0","80","100","100","2007.72","SUCCESS"
"influencermatcheria","59.0","RFM + CLV Advanced","62.8","63.3","80","40","80","30","0","0","80","100","100","1899.34","SUCCESS"
"influencermatchingia","59.0","RFM + CLV Advanced","62.8","63.3","80","40","80","30","0","0","80","100","100","1964.7","SUCCESS"
"personalizationengineia","59.0","RFM + CLV Advanced","62.8","63.3","80","40","80","30","0","0","80","100","100","1975.92","SUCCESS"
"competitorintelligenceia","59.0","Crayon / Kompyte","63.4","63.3","80","40","80","30","0","0","80","100","100","1987.43","SUCCESS"
"competitoranalyzeria","59.0","Crayon / Kompyte","63.4","63.3","80","40","80","30","0","0","80","100","100","1837.44","SUCCESS"
"creativeanalyzeria","59.0","RFM + CLV Advanced","62.8","63.3","80","40","80","30","0","0","80","100","100","1860.94","SUCCESS"
"journeyoptimizeria","41.0","RFM + CLV Advanced","43.6","63.3","40","40","0","30","0","0","80","100","100","1912.74","SUCCESS"
"contactqualityia","59.0","RFM + CLV Advanced","62.8","63.3","80","40","80","30","0","0","80","100","100","2187.44","SUCCESS"
"marketingorchestratorea","59.0","Airflow + Prefect","61.4","63.3","80","40","80","30","0","0","80","100","100","1898.22","SUCCESS"
"socialpostgeneratoria","59.0","RFM + CLV Advanced","62.8","63.3","80","40","80","30","0","0","80","100","100","1793.66","SUCCESS"
"campaignoptimizeria","59.0","RFM + CLV Advanced","62.8","63.3","80","40","80","30","0","0","80","100","100","1812.38","SUCCESS"
"leadscoringia","56.0","FICO Score XD","57.1","63.3","60","40","80","30","0","0","80","100","100","1928.39","SUCCESS"
"conversioncohortia","59.0","RFM + CLV Advanced","62.8","63.3","80","40","80","30","0","0","80","100","100","1794.68","SUCCESS"
"cashofferfilteria","23.0","RFM + CLV Advanced","24.5","30","20","20","0","30","0","0","80","33.3","50","1935.03","SUCCESS"
